dim,chunk_size_bytes,n_jobs,latency_ns_median
128,4096,1,3106
128,4096,2,3802
128,4096,4,4887
128,4096,8,7204
128,4096,16,12783
128,4096,32,22875
128,8192,1,4270
128,8192,2,4804
128,8192,4,5939
128,8192,8,8375
128,8192,16,13545
128,8192,32,23826
128,16384,1,6175
128,16384,2,6824
128,16384,4,8049
128,16384,8,10306
128,16384,16,16052
128,16384,32,26785
128,32768,1,10300
128,32768,2,10912
128,32768,4,12083
128,32768,8,14506
128,32768,16,24264
128,32768,32,42978
128,65536,1,18481
128,65536,2,19065
128,65536,4,20281
128,65536,8,22616
128,65536,16,40832
128,65536,32,76276
128,131072,1,34835
128,131072,2,35481
128,131072,4,36696
128,131072,8,39003
128,131072,16,73698
128,131072,32,141843
128,262144,1,67648
128,262144,2,68267
128,262144,4,69430
128,262144,8,71875
128,262144,16,139523
128,262144,32,273123
128,524288,1,133192
128,524288,2,133760
128,524288,4,135000
128,524288,8,137388
128,524288,16,270406
128,524288,32,535308
512,4096,1,4369
512,4096,2,4971
512,4096,4,6129
512,4096,8,8371
512,4096,16,14048
512,4096,32,24187
512,8192,1,6429
512,8192,2,6982
512,8192,4,8086
512,8192,8,10547
512,8192,16,16530
512,8192,32,27431
512,16384,1,10390
512,16384,2,11176
512,16384,4,12294
512,16384,8,14559
512,16384,16,24392
512,16384,32,43207
512,32768,1,18286
512,32768,2,18542
512,32768,4,19980
512,32768,8,22310
512,32768,16,40508
512,32768,32,74549
512,65536,1,34060
512,65536,2,34298
512,65536,4,36157
512,65536,8,37912
512,65536,16,71668
512,65536,32,136866
2048,4096,1,6250
2048,4096,2,6790
2048,4096,4,7953
2048,4096,8,10218
2048,4096,16,15973
2048,4096,32,26630
2048,8192,1,10196
2048,8192,2,10805
2048,8192,4,11933
2048,8192,8,14282
2048,8192,16,23928
2048,8192,32,41791
2048,16384,1,18304
2048,16384,2,18836
2048,16384,4,19978
2048,16384,8,22440
2048,16384,16,40198
2048,16384,32,74383
2048,32768,1,34442
2048,32768,2,35067
2048,32768,4,36159
2048,32768,8,38676
2048,32768,16,72930
2048,32768,32,139752
2048,65536,1,66818
2048,65536,2,67448
2048,65536,4,68632
2048,65536,8,71148
2048,65536,16,137622
2048,65536,32,269465
